Ciepła
SURVEY NAME: 4
SURVEY DATE: 18 8 2025	 COMMENT: Studnie i pozime partie za partiami Adrenalina na Maxa
SURVEY TEAM:
Asia Królewicz (rysunek), Piotr Kopera (Distox)
DECLINATION: 0.00	FORMAT: DMMDLRUDLADNF	CORRECTIONS: 0.00 0.00 0.00

FROM	TO	LENGTH	BEARING	INC	LEFT	UP	DOWN	RIGHT	FLAGS	COMMENTS
13	13a	3.6482940800000003	296.9110107421875	-17.64404296875	0	0	0	0	#|L#	
13	13a	1.7913386400000002	124.7222900390625	4.6417236328125	0	0	0	0	#|L#	
13	13a	1.8372704000000002	338.5107421875	-86.055908203125	0	0	0	0	#|L#	
13	14	15.018591906666666	62.889404296875	17.391357421875	0	0	0	0		
14	14a	1.97506568	298.948974609375	-4.339599609375	0	0	0	0	#|L#	
14	14a	1.64698168	327.403564453125	-54.3328857421875	0	0	0	0	#|L#	
14	14a	6.14501332	136.8182373046875	-4.713134765625	0	0	0	0	#|L#	
14	15	6.583552266666666	13.934326171875	25.3143310546875	0	0	0	0		
15	15a	1.24343836	127.452392578125	54.6405029296875	0	0	0	0	#|L#	
15	15a	1.39107616	34.5794677734375	-77.9974365234375	0	0	0	0	#|L#	
15	15a	1.52887144	119.146728515625	0.9173583984375	0	0	0	0	#|L#	
15	15a	6.095800720000001	36.80419921875	15.5291748046875	0	0	0	0	#|L#	
15	16	9.64895044	40.067138671875	17.3199462890625	0	0	0	0		
16	16a	3.87467204	111.1376953125	83.1500244140625	0	0	0	0	#|L#	
16	16a	8.93372732	85.7373046875	-49.5098876953125	0	0	0	0	#|L#	
16	16a	3.3169292399999994	26.5704345703125	3.9495849609375	0	0	0	0	#|L#	
16	16a	2.8379266	49.1253662109375	9.2999267578125	0	0	0	0	#|L#	
16	16a	3.9632547199999997	77.1295166015625	5.2789306640625	0	0	0	0	#|L#	
16	16a	5.003280999999999	102.008056640625	0.823974609375	0	0	0	0	#|L#	
16	16a	4.2979004000000005	123.5137939453125	-2.04345703125	0	0	0	0	#|L#	
16	16a	4.222441079999999	152.8253173828125	-12.139892578125	0	0	0	0	#|L#	
16	16a	1.886483	153.8909912109375	-23.1591796875	0	0	0	0	#|L#	
16	17	14.87314133333333	77.764892578125	21.7730712890625	0	0	0	0		
17	18	4.6653544799999995	209.1778564453125	70.23193359375	0	0	0	0		
18	18a	2.11286096	84.1058349609375	-1.6204833984375	0	0	0	0	#|L#	
18	18a	8.3497378	342.191162109375	-18.3526611328125	0	0	0	0	#|L#	
18	18a	7.709974	331.8914794921875	-24.89501953125	0	0	0	0	#|L#	
18	18a	6.23687684	348.8983154296875	-12.9364013671875	0	0	0	0	#|L#	
18	19	6.826334426666665	158.4136962890625	9.7796630859375	0	0	0	0		
19	19a	2.27034128	45.340576171875	-1.7578125	0	0	0	0	#|L#	
19	19a	1.4599738	64.061279296875	-77.36572265625	0	0	0	0	#|L#	
19	19a	1.28280844	29.3939208984375	46.219482421875	0	0	0	0	#|L#	
19	20	7.84448844	113.701171875	26.3470458984375	0	0	0	0		
20	20a	2.97572188	228.9605712890625	-30.47607421875	0	0	0	0	#|L#	
20	20a	2.64435704	261.177978515625	-69.9169921875	0	0	0	0	#|L#	
20	20a	14.68503984	168.46435546875	4.5538330078125	0	0	0	0	#|L#	
20	20a	14.671916480000002	168.541259765625	4.4329833984375	0	0	0	0	#|L#	
20	21	15.319335573333333	168.314208984375	4.5977783203125	0	0	0	0		
21	21a	0.9055118400000001	249.3896484375	-69.1204833984375	0	0	0	0	#|L#	
21	21a	3.86811036	282.89794921875	78.2666015625	0	0	0	0	#|L#	
21	21a	2.14566936	258.02490234375	38.265380859375	0	0	0	0	#|L#	
21	22	4.511155	166.973876953125	39.847412109375	0	0	0	0		
22	22a	2.214567	107.501220703125	2.933349609375	0	0	0	0	#|L#	
22	22a	2.64763788	16.534423828125	4.482421875	0	0	0	0	#|L#	
22	22a	2.94619432	342.9766845703125	-67.236328125	0	0	0	0	#|L#	
22	22a	4.05839908	24.5709228515625	79.1070556640625	0	0	0	0	#|L#	
22	22a	7.3162731999999995	266.11083984375	79.1015625	0	0	0	0	#|L#	
22	23	17.80839952	255.66650390625	61.593017578125	0	0	0	0		
23	23a	4.865485720000001	22.1923828125	2.4993896484375	0	0	0	0	#|L#	
23	23a	4.92126	57.3046875	1.043701171875	0	0	0	0	#|L#	
23	23a	4.593176	89.5001220703125	0.263671875	0	0	0	0	#|L#	
23	23a	1.3779527999999999	121.201171875	1.1041259765625	0	0	0	0	#|L#	
23	23a	6.12860912	143.250732421875	27.9547119140625	0	0	0	0	#|L#	
23	23a	7.4573493200000005	78.936767578125	57.535400390625	0	0	0	0	#|L#	
23	23a	5.6758532	336.016845703125	62.7264404296875	0	0	0	0	#|L#	
16	16.1	8.897638079999998	86.839599609375	-31.2762451171875	0	0	0	0		
16.1	16.1a	2.12926516	80.4693603515625	-87.1875	0	0	0	0	#|L#	
16.1	16.1a	2.95931768	207.7679443359375	-6.064453125	0	0	0	0	#|L#	
16.1	16.2	12.020997759999998	188.4906005859375	1.541748046875	0	0	0	0		
16.2	16.2a	2.5262468	285.4522705078125	70.0433349609375	0	0	0	0	#|L#	
16.2	16.2a	1.91601056	284.468994140625	14.293212890625	0	0	0	0	#|L#	
16.2	16.3	6.546369413333333	263.94287109375	19.4879150390625	0	0	0	0		
8	8.1	9.552712466666666	5.5755615234375	3.731689453125	0	0	0	0		
8.1	8.2	10.132327533333333	330.78369140625	-19.7222900390625	0	0	0	0		
8.2	8.2a	18.57283524	343.4710693359375	-6.6796875	0	0	0	0	#|L#	
